index,nlipktrlsm,tahuntrlsm,kdjektrlsm,jalur,llsketrlsm,toefltrlsm,kursitrlsm,jcutitrlsm,stwsdtrlsm,nmpstmspst,preditrlsm,tepat_waktu
2988,3.0,2012.0,2,1,6310.0,410.0,28.0,0.0,0.0,6,2,True
3215,3.0,2011.0,1,1,5983.0,400.0,56.0,0.0,0.0,4,2,True
2549,2.0,2010.0,2,1,5624.0,403.0,83.0,0.0,0.0,5,4,False
2191,1.0,2009.0,1,0,5799.0,400.0,78.0,0.0,0.0,1,4,False
3628,2.0,2012.0,2,0,4734.0,400.0,77.0,0.0,0.0,3,4,False
3350,3.0,2014.0,2,3,8211.0,483.0,77.0,0.0,0.0,2,2,False
3724,2.0,2012.0,2,2,7444.0,460.0,73.0,0.0,0.0,3,4,False
2439,3.0,2009.0,2,0,4973.0,450.0,77.0,0.0,0.0,4,2,True
2393,1.0,2009.0,2,0,4927.0,400.0,77.0,0.0,0.0,3,4,True
312,2.0,2009.0,2,0,5114.0,400.0,77.0,0.0,0.0,6,4,False
3938,2.0,2015.0,2,1,8510.0,400.0,152.125,0.0,0.0,5,4,True
3481,2.0,2010.0,1,3,5429.0,420.0,115.0,0.0,0.0,2,4,True
1605,3.0,2014.0,2,3,7821.0,427.0,28.0,0.0,0.0,2,2,True
1597,3.0,2014.0,2,2,7772.0,413.0,19.0,0.0,0.0,3,2,True
683,3.0,2013.0,1,1,7356.0,430.0,77.0,0.0,0.0,5,2,True
2663,3.0,2012.0,2,0,4526.0,453.0,77.0,0.0,0.0,4,2,True
3357,1.0,2012.0,1,3,8218.0,507.5,152.125,0.0,0.0,2,4,False
3514,3.0,2012.0,2,4,5462.0,403.0,141.0,0.0,0.0,1,4,True
2307,2.0,2012.0,2,3,6749.0,417.0,76.0,0.0,0.0,2,4,False
3295,2.0,2012.0,1,1,8156.0,417.0,77.0,0.0,0.0,6,4,False
2793,3.0,2010.0,2,1,5311.0,507.5,77.0,0.0,0.0,4,2,True
490,3.0,2013.0,2,3,7163.0,463.0,77.0,0.0,0.0,2,2,True
2192,2.0,2010.0,1,4,5792.0,420.0,73.0,0.0,0.0,1,4,False
2151,3.0,2011.0,2,1,5756.0,427.0,18.0,0.0,0.0,6,2,True
2690,1.0,2012.0,2,0,4553.0,400.0,77.0,0.0,0.0,5,4,False
3212,3.0,2011.0,2,1,5979.0,420.0,13.0,0.0,0.0,4,2,True
1171,3.0,2014.0,2,1,8045.0,400.0,43.0,0.0,0.0,4,2,True
1034,2.0,2014.0,2,1,7908.0,407.0,60.0,0.0,0.0,6,4,True
2637,2.0,2012.0,1,0,4500.0,400.0,77.0,0.0,0.0,1,4,False
3932,3.0,2015.0,2,1,8505.0,460.0,70.0,0.0,0.0,4,2,True
2833,1.0,2012.0,1,1,7567.0,423.0,81.0,0.0,0.0,6,4,False
3618,2.0,2012.0,2,0,4724.0,420.0,77.0,0.0,0.0,3,4,False
2313,2.0,2012.0,2,3,6755.0,450.0,86.0,0.0,0.0,2,4,False
1884,2.0,2012.0,1,0,4373.0,403.0,77.0,0.0,0.0,3,4,False
2707,2.0,2010.0,2,1,5228.0,400.0,77.0,0.0,0.0,6,4,True
2203,3.0,2011.0,2,1,5808.0,500.0,4.0,0.0,0.0,4,2,True
3189,3.0,2011.0,1,4,5961.0,407.0,35.0,0.0,0.0,1,2,True
2680,3.0,2012.0,1,0,4543.0,450.0,77.0,0.0,0.0,5,2,True
2117,2.0,2011.0,2,1,6154.0,400.0,89.0,0.0,0.0,4,4,False
2387,1.0,2008.0,2,6,4918.0,400.0,77.0,0.0,0.0,6,4,False
3792,3.0,2013.0,2,1,7511.0,453.0,31.0,0.0,0.0,5,2,True
3501,2.0,2010.0,2,4,5449.0,400.0,128.0,0.0,0.0,1,4,True
542,1.0,2013.0,2,3,7215.0,437.0,77.0,0.0,0.0,2,4,True
2619,2.0,2012.0,2,0,4482.0,470.0,77.0,0.0,0.0,2,4,True
3851,3.0,2015.0,2,2,8422.0,400.0,27.0,0.0,0.0,3,2,True
928,2.0,2013.0,2,1,6841.0,413.0,55.0,0.0,0.0,6,4,True
2172,2.0,2010.0,1,2,5777.0,400.0,59.0,0.0,0.0,3,4,False
1396,2.0,2012.0,1,4,6584.0,450.0,152.125,0.0,0.0,1,4,True
3158,2.0,2011.0,1,3,5931.0,473.0,107.0,0.0,0.0,2,4,True
2150,2.0,2011.0,1,1,5755.0,417.0,47.0,0.0,0.0,6,4,True
3659,2.0,2012.0,2,0,4762.0,400.0,77.0,0.0,0.0,1,4,False
3186,2.0,2011.0,1,4,5958.0,427.0,149.0,0.0,0.0,1,4,True
3114,2.0,2011.0,2,1,5887.0,457.0,70.0,0.0,0.0,6,4,True
1729,3.0,2014.0,1,1,7745.0,427.0,7.0,0.0,0.0,6,2,True
3218,2.0,2011.0,1,1,5986.0,427.0,152.125,0.0,0.0,4,4,True
830,2.0,2012.0,2,2,7006.0,430.0,97.0,0.0,0.0,3,4,False
1315,2.0,2012.0,2,3,6503.0,403.0,76.0,0.0,0.0,2,4,True
2856,2.0,2012.0,1,1,7590.0,453.0,65.0,0.0,0.0,6,4,False
1935,2.0,2012.0,2,0,4799.0,400.0,77.0,0.0,0.0,6,4,True
3635,2.0,2012.0,2,0,4738.0,400.0,77.0,0.0,0.0,2,4,False
1149,1.0,2012.0,1,4,8023.0,437.0,152.125,0.0,0.0,1,4,False
1044,2.0,2013.0,2,1,7918.0,487.0,73.0,0.0,0.0,6,4,False
2862,3.0,2014.0,1,1,7596.0,443.0,8.0,0.0,0.0,6,2,True
3845,2.0,2015.0,2,2,8416.0,400.0,123.0,0.0,0.0,3,4,True
3451,2.0,2010.0,2,2,5399.0,437.0,87.0,0.0,0.0,3,4,True
2005,3.0,2012.0,1,0,4871.0,420.0,77.0,0.0,0.0,4,2,True
1768,3.0,2014.0,2,3,7827.0,440.0,29.0,0.0,0.0,2,2,True
2863,2.0,2013.0,1,1,7597.0,407.0,79.0,0.0,0.0,6,4,False
3915,3.0,2015.0,2,1,8488.0,433.0,68.0,0.0,0.0,4,2,True
1676,3.0,2014.0,2,1,7851.0,413.0,56.0,0.0,0.0,4,2,True
3752,1.0,2013.0,2,3,7472.0,413.0,89.0,0.0,0.0,2,4,False
3956,2.0,2014.0,1,1,8529.0,423.0,152.125,0.0,0.0,5,4,False
3181,2.0,2011.0,2,3,5954.0,420.0,134.0,0.0,0.0,2,4,True
50,2.0,2011.0,1,4,6246.0,400.0,81.0,0.0,0.0,1,4,False
1324,2.0,2012.0,2,3,6512.0,420.0,101.0,0.0,0.0,2,4,True
1769,3.0,2014.0,2,3,7828.0,447.0,25.0,0.0,0.0,2,2,True
3238,2.0,2009.0,2,0,6017.0,430.0,152.125,0.0,0.0,5,4,False
2564,3.0,2012.0,1,0,4427.0,413.0,77.0,0.0,0.0,6,2,True
362,2.0,2009.0,2,0,5166.0,430.0,77.0,0.0,0.0,2,4,False
435,1.0,2011.0,1,1,7108.0,400.0,77.0,0.0,0.0,6,4,False
1857,3.0,2011.0,2,1,7878.0,400.0,152.125,0.0,0.0,5,4,False
3191,2.0,2011.0,2,4,5963.0,433.0,152.125,0.0,0.0,1,4,True
2864,2.0,2012.0,2,2,7598.0,400.0,86.0,0.0,0.0,3,4,False
901,2.0,2012.0,1,1,7077.0,447.0,133.0,0.0,0.0,5,4,False
3329,1.0,2013.0,1,2,8189.0,400.0,77.0,0.0,0.0,3,4,False
1560,3.0,2014.0,1,1,7735.0,410.0,5.0,0.0,0.0,6,2,True
2921,3.0,2014.0,1,4,7655.0,430.0,34.0,0.0,0.0,1,2,True
460,3.0,2013.0,2,2,7133.0,427.0,77.0,0.0,0.0,3,2,True
2264,3.0,2012.0,1,2,6706.0,400.0,3.125,0.0,0.0,3,2,True
1826,2.0,2014.0,2,1,7846.0,437.0,150.0,0.0,0.0,4,4,True
87,2.0,2016.0,1,4,6274.0,437.0,89.0,0.0,0.0,5,4,False
2357,2.0,2012.0,2,1,6799.0,447.0,121.0,0.0,0.0,5,4,False
3266,3.0,2011.0,2,1,6013.0,507.5,24.0,0.0,0.0,5,2,True
2934,2.0,2013.0,1,1,7668.0,430.0,142.0,0.0,0.0,4,4,False
962,1.0,2011.0,1,3,6875.0,403.0,94.0,0.0,0.0,2,4,False
3244,1.0,2008.0,1,0,6025.0,403.0,152.125,0.0,0.0,5,4,False
588,2.0,2013.0,2,4,7261.0,400.0,77.0,0.0,0.0,1,4,True
83,2.0,2010.0,2,1,6278.0,400.0,93.0,0.0,0.0,5,4,False
3788,2.0,2013.0,1,1,7507.0,447.0,123.0,0.0,0.0,5,4,True
1819,3.0,2014.0,2,1,7839.0,450.0,65.0,0.0,0.0,4,2,True
3649,1.0,2012.0,2,0,4752.0,400.0,77.0,0.0,0.0,2,4,False
3540,3.0,2010.0,2,1,5488.0,457.0,22.0,0.0,0.0,4,2,True
2437,2.0,2008.0,2,0,4971.0,407.0,77.0,0.0,0.0,4,4,False
452,2.0,2013.0,2,2,7125.0,400.0,77.0,0.0,0.0,3,4,True
3718,2.0,2013.0,2,2,7438.0,443.0,66.0,0.0,0.0,3,4,False
3701,2.0,2013.0,1,1,7421.0,420.0,44.0,0.0,0.0,6,4,False
2676,2.0,2012.0,1,0,4539.0,403.0,77.0,0.0,0.0,5,4,False
2385,1.0,2008.0,2,6,4903.0,400.0,77.0,0.0,0.0,6,4,False
